,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details
0,Maruti Suzuki Swift,Z12E,1197 cc,Automatic,Petrol,25.75 kmpl,37 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Surround Sense Powered by ARKAMYS,On board Voice Assistant(Wake-up through - Hi Suzuki With Barge-in Feature),'}"
1,Maruti Suzuki Brezza,K15C,1462 cc,Automatic,Petrol,19.8 kmpl,48 Litres,Mac Pherson Strut & Coil,Torsion Beam & Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro+, Premium Sound System ARKAMYS Surround Sense, Wireless Apple and android auto, Onboard Voice Assistant, Remote Control App for Infotainment'}"
2,Maruti Suzuki FRONX,1.0L Turbo Boosterjet,998 cc,Automatic,Petrol,20.01 kmpl,37 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro Plus Touch Screen Audio, ARKAMYS Premium Sound System, Android Auto and Apple CarPlay (Wireless), Onboard Voice Assistant (Wake-up through (Hi Suzuki) with Barge-in feature), Multi Information Display (TFT Color)'}"
3,Maruti Suzuki Ertiga,K15C Smart Hybrid,1462 cc,Automatic,Petrol,20.3 kmpl,45 Litres,Mac Pherson Strut & Coil Spring,Torsion Beam & Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro Touch Screen Infotainment System, Premium Sound System, Wireless android auto & apple carplay'}"
4,Maruti Suzuki Baleno,1.2 L K Series Engine,1197 cc,Automatic,Petrol,22.94 kmpl,37 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro+, Wireless Android Auto & Apple CarPlay, Surround Sense powered by ARKAMYS'}"
5,Maruti Suzuki Wagon R,K12N,1197 cc,Automatic,Petrol,24.43 kmpl,32 Litres,MacPherson Strut With Coil Spring,Torsion Beam With Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Smartplay Studio With Smartphone Navigation'}"
6,Maruti Suzuki Dzire,K12M VVT I4,1197 cc,Automatic,Petrol,22.61 kmpl,37 Litres,Mac Pherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Smartplay Studio System with Navigation and Voice Command, AHA Platform (Through Smartplay Studio App), Audio Remote Control(Through Smartplay Studio app)'}"
7,Maruti Suzuki Alto K10,K10C,998 cc,Manual,CNG,33.85 km/kg,55 Litres,Mac Pherson Strut with Coil Spring,Torsion Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
8,Maruti Suzuki Jimny,K15B,1462 cc,Automatic,Petrol,16.39 kmpl,40 Litres,Multi link suspension,Multi link suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
9,Maruti Suzuki Celerio,K10C,998 cc,Automatic,Petrol,26 kmpl,32 Litres,Mac Pherson Strut with Coil Spring,Torsion Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Smartplay Studio System With Smartphone Navigation And Voice Command(Android Auto And Apple Car Play Enabled'}"
